0.77395605,0.43887844,0.85859792,0.69736803,0.09417735,0.97562235,0.76113970,0.78606431,0.12811363,0.45038594
0.37079802,0.92676499,0.64386512,0.82276161,0.44341420,0.22723872,0.55458479,0.06381726,0.82763117,0.63166440
0.75808774,0.35452597,0.97069802,0.89312112,0.77838350,0.19463871,0.46672100,0.04380377,0.15428949,0.68304895
0.74476216,0.96750973,0.32582536,0.37045971,0.46955581,0.18947136,0.12992151,0.47570493,0.22690935,0.66981399
0.43715192,0.83267820,0.70026510,0.31236664,0.83225980,0.80476436,0.38747838,0.28832810,0.68249550,0.13975248
0.19990820,0.00736227,0.78692438,0.66485086,0.70516538,0.78072903,0.45891578,0.56874120,0.13979700,0.11453007
0.66840296,0.47109621,0.56523611,0.76499886,0.63471832,0.55357940,0.55920716,0.30395010,0.03081783,0.43671739
0.21458467,0.40852864,0.85340307,0.23393949,0.05830274,0.28138389,0.29359376,0.66191651,0.55703215,0.78389821
0.66431354,0.40638686,0.81402038,0.16697292,0.02271207,0.09004786,0.72235935,0.46187723,0.16127178,0.50104478
0.15231210,0.69632038,0.44615628,0.38102123,0.30151209,0.63028259,0.36181261,0.08764992,0.11800590,0.96189766
0.90858069,0.69970713,0.26586996,0.96917638,0.77875090,0.71689019,0.44936150,0.27224156,0.09639096,0.90260240
0.45577629,0.20236336,0.30595662,0.57921957,0.17677278,0.85661428,0.75851953,0.71946296,0.43209304,0.62730884
0.58409797,0.64984660,0.08444432,0.41580740,0.04161417,0.49399082,0.32986121,0.14452419,0.10340297,0.58764457
0.17059297,0.92512012,0.58106114,0.34686980,0.59091549,0.02280387,0.95855921,0.48230344,0.78273523,0.08273000
0.48665833,0.49070699,0.93782645,0.57172805,0.47348940,0.26697566,0.33156900,0.52067240,0.43891146,0.02161208
0.82629192,0.89616077,0.14024909,0.55403614,0.10857574,0.67224009,0.28123378,0.65942263,0.72699461,0.76864749
0.10774095,0.91601185,0.23021399,0.03741256,0.55485247,0.37092228,0.82978974,0.80825147,0.31713889,0.95289940
0.29091784,0.51505713,0.25596509,0.93604357,0.16460782,0.04491062,0.43509706,0.99237556,0.89167727,0.74860802
0.89079249,0.89344664,0.51885836,0.31592905,0.77201243,0.66166126,0.37365773,0.09446667,0.74678961,0.26246052
0.93681315,0.24097058,0.12275793,0.83111267,0.15328432,0.17926831,0.59938279,0.87456204,0.19643467,0.31032367
0.77740484,0.97182643,0.50074119,0.14389750,0.01393629,0.22965603,0.13182222,0.67765867,0.12183250,0.50632993
0.69426244,0.58111661,0.19977565,0.80412453,0.71540713,0.73898400,0.13105775,0.12375380,0.92756255,0.39757819
0.30094869,0.48858405,0.66286421,0.95562326,0.28644623,0.92480843,0.02485949,0.55519804,0.63397511,0.10589740
0.14033960,0.41911432,0.96623191,0.59604255,0.93302322,0.80436092,0.46738160,0.78476345,0.01783678,0.10914400
0.82942861,0.79681709,0.23264074,0.53076959,0.60601582,0.86773895,0.60310716,0.41257157,0.37418404,0.42588209
0.65193103,0.86749063,0.45389688,0.24783956,0.23666236,0.74601428,0.81656876,0.10527808,0.06655886,0.59443366
0.14617324,0.82466419,0.31033467,0.14387193,0.92097047,0.16553172,0.28472008,0.15361340,0.11549006,0.02114802
0.05539541,0.17464147,0.05338193,0.59114382,0.68071453,0.39363046,0.31799110,0.50452624,0.87500494,0.85113163
0.04347506,0.18149841,0.23674487,0.24938758,0.57123265,0.41626243,0.04925412,0.37361414,0.52375295,0.10167190
0.83345855,0.05196187,0.92484187,0.09911314,0.84357495,0.90265314,0.97957068,0.80202588,0.77947754,0.64248328
0.77899635,0.13455221,0.53606804,0.51422287,0.85757214,0.46279937,0.38508950,0.63956327,0.26646332,0.13976841
0.47787727,0.41688937,0.23256994,0.36751181,0.36639245,0.32749556,0.37946408,0.68574335,0.29687647,0.94885793
0.91634802,0.48091043,0.32836121,0.53543479,0.84856049,0.65258734,0.80439183,0.53272228,0.63291763,0.28815561
0.73489316,0.20240459,0.69479813,0.86071907,0.13210284,0.61437974,0.09509575,0.72571563,0.08449322,0.93593982
